HAZUS_class_final,BRKEY,Strucname,Maxspan,Length,Mainspans,Total_Spans,NBI_Class,Seismic Design,Year of Most Recent Improvement,HAZUS_iseqType,
HWB1,53 2622M,CITY TERRACE DRAIN,2301,2301,1,1,119,N,1942,na,
HWB1,27 0052,GOLDEN GATE BRIDGE,1280.2,2742.3,3,16,313,N,1937,na,
HWB1,53 2621M,COUNTY HOSPITAL DRAIN,1180,1180,1,1,119,N,1974,na,
HWB1,34 0003,SFOBB WEST BAY,704.1,6281.3,6,9,313,N,1962,na,
HWB1,12 0188,LAKE OROVILLE (MIDDLE FORK FEATHER RIVER),337.7,546.5,1,8,313,N,1965,na,
HWB1,23 0015R,CARQUINEZ BOH,335.3,1587.7,5,23,310,N,1958,na,
HWB1,57 0857,SAN DIEGO-CORONADO BAY BRIDGE,201.2,2262.5,3,29,308,N,1969,na,
HWB1,51 0204M,CASTILLO STREET SEAL SLAB,182.9,182.9,1,1,100,N,1963,na,
HWB1,12 0134,W BR FEATHER RIVER(LAKE OROVILLE),175.6,832.4,4,14,309,N,1962,na,
HWB1,53C0065,"ENTRANCE CHAN, SPTCO",160.6,1851.5,3,32,312,N,1968,na,
HWB1,53C0551L,QUEENSWAY DR / LA RIV,152.4,399.3,3,5,306,N,1969,na,
HWB1,53C0551R,QUEENSWAY DR / LA RIV,152.4,399.3,3,5,306,N,1969,na,
HWB2,28 0352L,WB CARQUINEZ (AL ZAMPA MEMORIAL) BRIDGE,728,1056,3,10,413,Y,2003,na,
HWB2,53 1471,VINCENT THOMAS BRIDGE,457.2,1847.8,3,23,313,Y,1990,na,
HWB2,34 0006,SFOBB EAST SPAN,385,3512.3,2,62,413,Y,2013,na,
HWB2,28 0100,RICHMOND-SAN RAFAEL BRIDGE,331.3,6506,6,109,310,Y,1978,na,
HWB2,19C0060,NORTH FORK AMERICAN RIVER,262.7,740.4,3,5,409,Y,2014,na,
HWB2,51 0273M,GARDEN STREET SEAL SLAB,232.6,232.6,1,1,101,Y,1990,na,
HWB2,20C0438,WARM SPRINGS CREEK,229.2,545,3,5,409,Y,1978,na,
HWB2,35 0054,SAN MATEO-HAYWARD BRIDGE,228.6,10993.8,37,908,308,Y,2002,na,
HWB2,51 0276M,STATE STREET SEAL SLAB,224.9,224.9,1,1,101,Y,1990,na,
HWB2,33 0086,SAN LEANDRO BAY,214.9,293.5,1,22,316,Y,1994,na,
HWB2,51 0037,COLD SPRING CANYON,213.4,371.2,11,19,311,Y,1996,na,
HWB2,28 0153R,BENICIA-MARTINEZ BRIDGE & OH,200.8,2265.9,16,22,521,Y,2007,na,
HWB2,32C0076,NEW MELONES RESERVOIR (PARROTTS FERRY BRIDGE),195,394,3,3,606,Y,1978,na,
HWB2,06 0021,LAKE SHASTA - PIT RIVER BOH,192,1093.6,8,15,309,Y,2008,na,
HWB2,06 0210,LAKE SHASTA (ANTLER),180,592,5,5,621,Y,2016,na,
HWB2,10 0299,SOUTH FORK EEL RIVER,174,413,3,3,621,Y,2009,na,
HWB2,32 0040,NEW MELONES RESVERVOIR,167.6,685.8,6,6,406,Y,1976,na,
HWB2,28 0153L,BENICIA-MARTINEZ BOH,160.9,1894.3,10,18,309,Y,1991,na,
HWB3,06C0165,A.C.I.D. FLUME OC,25.4,380.7,1,1,111,N,1918,na,
